D:\Veilpay\apps\consumer-app\src\components\TransactionItem.tsx: line 16, col 40, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\TransactionItem.tsx: line 30, col 39, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\TransactionItem.tsx: line 37, col 1, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\TransactionItem.tsx: line 49, col 33, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\TransactionItem.tsx: line 126, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\WalletIcons.tsx: line 4, col 96, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\WalletIcons.tsx: line 21, col 101, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\WalletIcons.tsx: line 30, col 99, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\WalletIcons.tsx: line 37, col 95, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\WalletIcons.tsx: line 46, col 93, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\WalletIcons.tsx: line 54, col 94, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\WalletIcons.tsx: line 62, col 94, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\__tests__\ZkpProver.property.test.tsx: line 73, col 3, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\__tests__\ZkpProver.property.test.tsx: line 79, col 3, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\__tests__\ZkpProver.property.test.tsx: line 96, col 44, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\__tests__\ZkpProver.property.test.tsx: line 96, col 54, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\__tests__\ZkpProver.property.test.tsx: line 212, col 7, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\AccountSelectorModal.tsx: line 14, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\AccountSelectorModal.tsx: line 29, col 57, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\AccountSelectorModal.tsx: line 39, col 37, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\AccountSelectorModal.tsx: line 120, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\dashboard\AccountSelectorModal.tsx: line 120, col 35, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\AddressBookModal.tsx: line 60, col 1, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\AddressBookModal.tsx: line 60, col 71, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\dashboard\AddressBookModal.tsx: line 103, col 1, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\AddressBookModal.tsx: line 112, col 11, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\dashboard\AddressBookModal.tsx: line 171, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\AddressBookModal.tsx: line 458, col 1, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\AddressBookModal.tsx: line 473, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\dashboard\AddressBookModal.tsx: line 473, col 35, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\DashboardHeader.tsx: line 13, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\DashboardHeader.tsx: line 60, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\dashboard\DashboardHeader.tsx: line 60, col 35, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\FiatGatewayCard.tsx: line 9, col 24, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\dashboard\FiatGatewayCard.tsx: line 10, col 21, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\dashboard\FiatGatewayCard.tsx: line 11, col 23, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\dashboard\FiatGatewayCard.tsx: line 12, col 20, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\dashboard\FiatGatewayCard.tsx: line 18, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\FiatGatewayCard.tsx: line 117, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\dashboard\FiatGatewayCard.tsx: line 117, col 35, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\RecentTransactionsList.tsx: line 18, col 1, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\RecentTransactionsList.tsx: line 72, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\dashboard\RecentTransactionsList.tsx: line 72, col 35, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\TokenAssetsList.tsx: line 14, col 39, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\TokenAssetsList.tsx: line 27, col 11, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\dashboard\TokenAssetsList.tsx: line 28, col 11, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\dashboard\TokenAssetsList.tsx: line 31, col 123, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\TokenAssetsList.tsx: line 40, col 33, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\TokenAssetsList.tsx: line 88, col 1, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\dashboard\TokenAssetsList.tsx: line 168, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\dashboard\TokenAssetsList.tsx: line 168, col 35, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\home\DashboardBalanceCard.tsx: line 141, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\home\DashboardQuickActions.tsx: line 17, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\home\DashboardQuickActions.tsx: line 28, col 55, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\home\DashboardQuickActions.tsx: line 107, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\FeeBreakdownCard.tsx: line 14, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\FeeBreakdownCard.tsx: line 47, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\payment\FeeBreakdownCard.tsx: line 47, col 35, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentActionButtons.tsx: line 13, col 62, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentActionButtons.tsx: line 16, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentAmountDisplay.tsx: line 19, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\PaymentAmountDisplay.tsx: line 74, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
